#{"t_start": 1760035664.2063074, "env_id": "None"}
r,l,t
437.9,50,180.236729
1256.7,50,266.927376
2154.6,50,344.829796
1069.2,50,424.193703
2912.3,50,508.319372
631.0,50,591.561532
4317.3,50,669.293778
586.8,50,752.299534
576.5,50,839.775645
6523.5,50,917.838108
9358.9,27,957.038208
4663.2,32,998.228765
6831.6,30,1030.659528
4056.4,23,1061.598441
6724.6,26,1091.797999
3752.1,50,1169.871768
4447.5,50,1244.795751
928.5,50,1330.734073
399.2,38,1404.271392
6340.1,48,1476.344176
8464.9,50,1553.172776
3607.8,50,1633.9604
4337.9,50,1707.506291
2231.9,50,1777.38756
177.2,50,1868.551467
8328.3,30,1925.402734
4713.5,25,1958.071419
4398.3,25,1990.53885
697.5,5,1999.966814
950.1,5,2005.530302
5826.8,50,2086.288991
1142.5,50,2175.147755
11633.6,47,2254.724071
1021.0,2,2258.10003
4825.8,50,2335.651587
1317.1,50,2417.396378
-19.4,50,2510.327536
303.5,50,2605.505606
327.8,50,2698.988363
1799.0,50,2778.146185
1564.4,50,2862.945935
6814.8,27,2901.893755
5763.1,25,2930.978679
5289.5,19,2955.934547
5985.2,38,3000.405225
6164.0,31,3041.312739
3726.9,50,3121.9519
1663.6,50,3212.500618
5084.4,50,3293.303447
9303.2,50,3365.949175
695.6,50,3445.73141
385.2,50,3530.904073
3054.9,50,3610.748395
693.7,48,3700.529777
1370.2,50,3792.525318
905.3,9,3804.952376
5544.6,17,3906.39521
7101.7,24,3940.441144
9385.2,39,3991.611235
7019.1,37,4034.765505
15206.5,50,4098.575099
2485.5,50,4176.696328
356.9,50,4263.620817
7008.9,41,4328.663525
7191.0,31,4373.050595
1185.2,50,4458.85942
4248.0,50,4534.575011
6485.3,50,4609.392452
11450.8,47,4681.441784
3596.0,50,4763.361766
2006.3,50,4841.726536
9690.7,36,4946.698731
4349.5,16,4961.359081
6632.8,25,4992.253404
7646.3,14,5009.350614
5119.2,20,5032.199093
3988.5,50,5110.28293
567.1,50,5200.244254
6048.7,50,5271.003902
868.1,50,5355.140129
362.8,24,5401.416095
2292.5,9,5414.298745
5208.7,6,5419.851628
4153.4,50,5497.692653
2521.2,50,5582.018884
6428.9,50,5662.994774
6777.8,37,5715.093296
3871.7,50,5796.407571
5968.5,15,5853.1919
5033.5,27,5890.174786
7095.6,18,5905.108255
5378.2,22,5933.926824
3901.4,15,5954.87299
3029.3,5,5962.705256
4487.0,39,6023.987665
