#{"t_start": 1759946082.1726758, "env_id": "None"}
r,l,t
58.8,50,97.185679
2205.9,50,167.542891
2543.7,50,254.313087
567.9,50,334.846125
7257.7,50,407.601959
2001.8,50,493.175297
6224.1,50,573.967505
981.8,50,656.160907
1415.5,50,742.013729
1799.2,50,813.188395
11811.6,50,878.885623
5262.0,21,904.502827
7727.2,42,957.726091
4243.5,9,968.376402
4618.3,18,993.658336
2034.0,50,1073.429909
36.8,50,1170.467377
1475.1,50,1253.974508
10770.5,31,1292.792616
1786.5,50,1383.478753
953.1,50,1461.224852
1871.7,50,1542.892766
1184.9,50,1632.912802
4563.2,50,1711.789258
1283.5,50,1792.356182
5381.3,19,1844.025079
3569.0,29,1882.44694
6348.2,28,1923.287673
6019.2,34,1964.089978
4360.5,48,2028.356668
4057.0,50,2107.157434
761.8,50,2186.605461
8598.9,40,2239.191798
2116.4,50,2318.738944
1309.7,50,2395.422305
261.6,50,2483.253823
1333.0,49,2568.913385
808.8,50,2648.897898
7904.0,50,2726.720633
2818.0,50,2809.476168
4101.0,23,2855.560361
7639.8,27,2887.22929
3347.6,19,2912.504486
8450.3,33,2953.897861
4690.1,23,2979.811197
2552.2,50,3057.77155
1193.7,50,3131.229261
10448.9,28,3164.67972
3440.0,40,3225.193519
8911.1,50,3301.883884
6728.8,50,3367.094116
6483.5,50,3436.92845
2272.1,50,3519.331524
3672.4,50,3590.790427
3043.6,50,3671.322755
9701.4,42,3777.000922
9770.1,47,3836.022392
9252.0,48,3904.762582
5425.0,24,3929.856697
2080.1,9,3941.398736
736.2,50,4023.87413
2625.4,50,4102.471761
684.0,50,4187.237313
478.7,50,4274.775157
5006.6,41,4337.214604
7527.2,17,4357.529484
2003.9,50,4434.562998
7223.3,50,4507.163513
8797.7,18,4529.448324
6086.2,50,4610.858258
956.7,50,4691.679129
9504.5,39,4771.642227
6882.7,50,4841.863353
2363.3,11,4853.239119
3325.3,19,4875.99246
4265.0,17,4892.701465
12668.2,50,4962.307414
1366.9,50,5040.593708
4189.8,50,5115.869379
535.8,50,5203.012959
5191.8,50,5276.004005
667.5,50,5366.655093
14791.2,50,5432.011931
2478.2,50,5515.900707
32.8,50,5611.093614
6057.2,50,5680.236036
3334.1,17,5703.313879
7587.1,35,5744.53498
3320.4,13,5758.936515
7561.2,37,5806.698107
7166.9,29,5842.528026
1056.9,50,5929.448512
1562.5,50,6008.707455
1561.9,50,6083.347032
1794.7,50,6163.118134
10924.2,50,6234.142121
3315.2,50,6313.800993
3285.0,50,6386.892558
5238.3,41,6449.208208
450.2,50,6539.08013
6424.1,50,6613.098581
6563.5,27,6664.225777
5058.0,35,6708.154524
10926.8,50,6769.288393
5025.7,22,6791.478772
4950.4,33,6834.141245
1506.3,50,6916.428644
2720.7,50,6997.250703
15479.7,45,7059.673156
2727.4,50,7133.89092
